code	gen1	gen2	gen3	gen4	gen5	gen6	gen7	gen8	gen9	gen10	gen11	gen12	gen13	gen14	gen15	gen16	gen17	gen18	gen19	gen20	gen21	gen22	gen23	gen24	gen25	gen26	gen27	altitude	pluvio_yr	forest	pluvio_1	pluvio_2	pluvio_3	pluvio_4	pluvio_5	pluvio_6	pluvio_7	pluvio_8	pluvio_9	pluvio_10	pluvio_11	pluvio_12	geology	evi_1	evi_2	evi_3	evi_4	evi_5	evi_6	evi_7	evi_8	evi_9	evi_10	evi_11	evi_12	evi_13	evi_14	evi_15	evi_16	evi_17	evi_18	evi_19	evi_20	evi_21	evi_22	evi_23	lon	lat	surface
1299	0	0	0	0	0	2	0	55	2	11	16	5	9	0	0	1	0	0	21	2	5	0	0	13	32	1	0	398,6220397949	1455	2	73,6666641235	74,5	133,8333282471	139,3333282471	120,5	110,3333358765	105,6666641235	105,8333358765	155,1666717529	169,8333282471	150	92,1666641235	3	0,3910871148	0,4112656713	0,4365606308	0,4635847807	0,4911327064	0,5538878441	0,5438943505	0,5508648753	0,5431039333	0,5202928782	0,5086370707	0,4672316313	0,4851673841	0,4788505137	0,5039389729	0,5205193162	0,5576840639	0,4989081919	0,506745398	0,489985764	0,4897886813	0,489938885	0,3840098083	16,0056502102	1,5014159492	5
2644	9	0	3	0	2	2	1	14	1	20	29	5	10	3	0	7	0	0	0	0	5	0	7	5	19	0	2	400,4576416016	1461	7	50,6666679382	72,8333358765	118,5	125	132,5	112,8333358765	134,1666717529	136,6666717529	157	175	99,8333358765	58,3333320618	6	0,3378965855	0,381662339	0,3899267614	0,4462485611	0,493188709	0,5008920431	0,5073742867	0,5237532258	0,5151152611	0,4978065789	0,4807990491	0,4335366488	0,461047858	0,4410296082	0,4584658146	0,4493008852	0,4633820653	0,455308795	0,4603865445	0,4533531964	0,4377965927	0,4394916892	0,3435108066	17,0176638107	2,6258755053	15
1838	9	0	0	0	1	0	3	0	4	63	30	20	13	3	7	0	0	0	0	4	5	0	0	1	3	21	7	362,2293701172	1447	5	72,007019043	77,605255127	147,5456085205	144,0175476074	133,798248291	104,957901001	110,329826355	104,8368453979	151,8578796387	158,3087768555	144,1842193604	86,1842041016	6	0,3610805273	0,375120908	0,4241586626	0,4610377252	0,4872943163	0,5046898723	0,507065475	0,5101108551	0,5113150477	0,5001526475	0,4540195763	0,436607182	0,440245837	0,4437948167	0,4673160017	0,4729451239	0,5137551427	0,4976354837	0,4795286059	0,4982682168	0,4773576856	0,4482271075	0,398150295	16,4554340326	1,4264519788	17,5
534	0	4	0	0	9	1	11	19	0	5	24	38	17	0	0	0	14	1	108	3	6	0	6	14	34	87	30	600,8876342773	1401,2221679688	1	22,5343647003	61,7834854126	118,2560348511	138,0808105469	154,5223999023	149,6374664307	154,465637207	151,3883514404	169,9227142334	171,9880371094	83,4226989746	24,5842113495	5	0,3889489174	0,4088948369	0,4338231981	0,4899954498	0,4880128205	0,5283816457	0,5550786257	0,5455245972	0,5536313057	0,5269128084	0,5338335633	0,5167191625	0,5197646022	0,5073350668	0,4811374545	0,5135068297	0,4921848178	0,5154051185	0,4748531878	0,5097850561	0,4463077486	0,4376213849	0,4012963176	15,2934924913	3,862781017	20,5
3213	1	1	0	0	0	0	4	5	1	5	15	23	4	6	0	5	4	0	7	2	0	0	3	7	5	18	8	375,827911377	1403,3333740234	1	50,8944587708	77,6038284302	106,0520172119	123,153755188	113,6365127563	127,2843933105	133,5442962646	147,4994354248	150,261138916	164,7403869629	102,7822799683	43,3062477112	6	0,3528017104	0,3939922452	0,3909000456	0,4738618433	0,4881713688	0,4783726931	0,5415314436	0,5563444495	0,5323090553	0,5286363959	0,4923691452	0,4729484022	0,4772336781	0,441865176	0,5021463037	0,5134362578	0,513906002	0,501724422	0,4987980723	0,4892227352	0,4510650635	0,4174048901	0,3798615038	17,5424116035	2,7758034461	10,5
1861	19	3	1	11	0	1	0	33	4	13	63	2	76	14	3	36	0	0	3	0	11	2	18	48	130	1	0	611,9286499023	1540,3333740234	7	27,2052745819	47,3074798584	138,4563598633	136,5421600342	146,0544128418	155,2628936768	154,4674987793	183,2274017334	181,4293365479	223,4661560059	91,842086792	28,2040882111	3	0,3509942591	0,3660480976	0,4051557779	0,4467102587	0,4803439975	0,5062088966	0,4861875474	0,5268591642	0,4800225496	0,4694581926	0,4842900038	0,4731833935	0,4818029106	0,4438877702	0,4317378998	0,4680766761	0,5362793207	0,494964689	0,4127091169	0,4341135621	0,4097899199	0,3784380257	0,3613479733	16,4554340326	3,6378891058	20
3445	1	4	0	0	2	0	0	12	0	11	10	3	2	0	0	2	2	0	37	0	1	1	3	16	8	9	20	451,0065307617	1440,1110839844	1	45,1143836975	61,3866958618	104,5260009766	122,5704345703	110,1925582886	166,6328735352	160,9961242676	161,5888061523	154,4488677979	163,5317382813	101,3005828857	32,4105186462	3	0,3781179488	0,3902834058	0,3839897215	0,4314178824	0,4552977383	0,5004596114	0,5091574788	0,542037487	0,4976391494	0,5448425412	0,4819840193	0,4660792053	0,485769093	0,4779208004	0,5166831017	0,5185244679	0,5299263	0,5393291116	0,5128956437	0,4916523695	0,4482536316	0,4488022327	0,3857249916	17,8797494703	3,4504791798	5
865	4	0	0	0	0	1	0	1	0	38	9	0	6	9	0	0	1	0	0	2	3	0	0	0	0	0	0	381,1873779297	1401,6296386719	2	84,9194412231	99,1051101685	129,7148284912	141,1611785889	120,1875915527	85,2760772705	62,0166053772	77,6795349121	137,3058166504	185,8951873779	170,5816497803	87,8465499878	3	0,3867941797	0,4234713018	0,4248172641	0,468547374	0,4752334058	0,5015134811	0,5217530131	0,5387365222	0,5120821595	0,5213214159	0,4957066476	0,4566102922	0,4555078149	0,467536062	0,4547952116	0,5185745358	0,5527024269	0,5537062883	0,5111669898	0,4845798612	0,5105220079	0,5031816959	0,3852753639	15,6308303581	0,6393302895	5
3644	3	0	2	0	0	1	1	2	1	17	17	11	12	1	1	1	4	0	8	2	3	0	2	5	6	13	1	387,1296691895	1465	1	42,2084007263	62,1832542419	131,6163787842	132,5500183105	109,3125991821	150,0585784912	146,3250427246	146,9043579102	155,4665527344	158,2042541504	101,1083450317	42,5248832703	2	0,3433533013	0,3670418561	0,4224587381	0,4504130483	0,4756493568	0,4788044095	0,4989064038	0,5340260863	0,4941600859	0,5144680142	0,471585393	0,4446244836	0,4887382388	0,4582802653	0,5101410747	0,541891396	0,4904163182	0,5192232132	0,4694871902	0,4780655503	0,4711836576	0,4620338678	0,3783028424	18,4044972632	3,3380332242	6
561	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	472,0189208984	1442	2	90,5684127808	98,0049667358	125,3830871582	150,8756256104	130,4017333984	93,8830871582	53,8830833435	60,8519897461	144,1480102539	207,5970001221	170,2835693359	98,6156692505	3	0,3957691789	0,4394950867	0,4651822448	0,5007801652	0,4921163917	0,5206896663	0,5422695279	0,5518906116	0,5262128115	0,5333960056	0,5332871675	0,475553602	0,4925711155	0,5192568302	0,5105315447	0,5419147611	0,5886106491	0,5718263984	0,516708076	0,5172011852	0,4961419106	0,4859277904	0,4261438549	15,3684564617	0,5643663191	5,5
