Variable	Coefficient_d_origine
pluvio_8	0.918713783798877
pluvio_7	0.883205447218107
lat	0.7932606560226
pluvio_6	0.707487051579322
lon	0.704917058771425
evi_13	0.634481803965241
evi_14	0.56601476152055
evi_12	0.51294313890292
evi_10	0.453942110169686
evi_15	0.447487798205924
pluvio_8_geology.3	0.43402844981379
pluvio_7_geology.3	0.397475163778758
evi_11	0.395489589533878
pluvio_6_geology.3	0.356634529626772
lat_geology.3	0.349954528894292
evi_16	0.281026038857881
lat_geology.6	0.264216954484777
pluvio_8_geology.6	0.243823406042646
lon_geology.5	0.242350370141818
lon_geology.3	0.233157800398203
pluvio_6_geology.6	0.213532525334108
pluvio_7_geology.6	0.199969180068017
pluvio_9_geology.3	0.181231701345244
pluvio_9	0.17675652510194
evi_8	0.168420034891675
geology.3	0.166727327945868
pluvio_9_geology.6	0.149448086727065
pluvio_7_geology.1	0.137252602068729
pluvio_8_geology.1	0.121505064664399
altitude_geology.6	0.11447441376616
altitude_geology.3	0.113726131310962
pluvio_7_geology.5	0.107856125502487
lat_geology.1	0.107117377315593
pluvio_8_geology.5	0.0949526286761774
lon_geology.2	0.0934611541312921
lon_geology.6	0.0740151511326071
evi_17	0.0719954587495809
pluvio_6_geology.2	0.0715935183980754
pluvio_6_geology.1	0.070478919573254
lon_geology.1	0.0619325829675049
pluvio_10_geology.6	0.0515174509150942
geology.2	0.0484875574433843
lat_geology.2	0.0451814719087537
pluvio_3_geology.5	0.0411222650077979
pluvio_7_geology.2	0.0406523758001164
pluvio_9_geology.1	0.0342052568545117
pluvio_2_geology.5	0.0296488604497768
pluvio_10_geology.3	0.026990653996357
lat_geology.5	0.0267903234191823
pluvio_8_geology.2	0.0244042346018645
pluvio_12_geology.5	0.014070219110297
pluvio_yr_geology.2	0.0111045611460993
pluvio_5_geology.1	0.00877677444625498
evi_9	0.00852962267630832
pluvio_6_geology.5	-0.00475244135288765
altitude_geology.1	-0.00497713088762222
pluvio_yr_geology.6	-0.013149430106821
pluvio_3_geology.2	-0.0132352274986895
altitude	-0.0163765049195058
pluvio_5_geology.6	-0.0166797190247064
pluvio_1_geology.2	-0.0231634177484502
pluvio_4_geology.2	-0.0268178360607646
pluvio_3_geology.1	-0.027658804218578
pluvio_9_geology.2	-0.0292830404685603
pluvio_12_geology.2	-0.0325519750723532
pluvio_2_geology.2	-0.034791883077144
pluvio_11_geology.2	-0.0368618758517845
altitude_geology.2	-0.038044192904083
pluvio_1_geology.5	-0.0385227420592531
pluvio_4_geology.1	-0.0406036887086338
pluvio_yr_geology.3	-0.0414880766976223
pluvio_yr_geology.1	-0.0426508404107177
pluvio_10_geology.1	-0.0456936769604488
geology.5	-0.0481796828475455
pluvio_5_geology.2	-0.0514152269940241
pluvio_10_geology.2	-0.0734572669679535
evi_18	-0.0764159659539614
geology.6	-0.0831648939236233
geology.1	-0.0838703086180844
evi_19	-0.0853875184159664
pluvio_2_geology.1	-0.0945551021771185
pluvio_5_geology.3	-0.113921386764535
pluvio_11_geology.1	-0.12300554517444
pluvio_1_geology.1	-0.124185668885734
evi_20	-0.127116382050449
pluvio_4_geology.6	-0.14177825478132
pluvio_12_geology.1	-0.144650707865512
pluvio_9_geology.5	-0.158845479356321
pluvio_11_geology.5	-0.176655964990959
altitude_geology.5	-0.201555726204922
pluvio_1_geology.6	-0.202972829723258
pluvio_3_geology.3	-0.219229395285735
pluvio_5_geology.5	-0.226971345852704
pluvio_2_geology.6	-0.228408112797167
pluvio_12_geology.6	-0.237961493329234
evi_7	-0.238841066628593
evi_6	-0.252333874076951
pluvio_10_geology.5	-0.267449018977072
pluvio_11_geology.6	-0.27612031906111
pluvio_3_geology.6	-0.278928156961004
pluvio_10	-0.308091857994024
pluvio_yr_geology.5	-0.316164762605034
pluvio_12_geology.3	-0.333984077361112
pluvio_4_geology.3	-0.335086814807284
evi_21	-0.342419167226023
pluvio_4_geology.5	-0.352485435338467
pluvio_1_geology.3	-0.353603961759591
pluvio_2_geology.3	-0.359035567964746
pluvio_11_geology.3	-0.388491323611642
pluvio_5	-0.400210904189714
pluvio_yr	-0.402348548674096
evi_5	-0.413667276033995
pluvio_3	-0.497929318956209
evi_22	-0.559487031961739
evi_1	-0.560106989874946
evi_23	-0.574032046122062
evi_4	-0.612696458825665
evi_2	-0.616705188054067
evi_3	-0.634474509915337
pluvio_2	-0.687141805566399
pluvio_12	-0.735078034517915
pluvio_1	-0.742448620176285
pluvio_4	-0.896772029696468
pluvio_11	-1.00113502868993
