Variable	Coefficient
evi_1	-0.159748311217724
evi_2	-0.165733668054029
evi_3	-0.203466448396611
evi_4	-0.163519696045255
evi_5	-0.139438880768976
evi_6	-0.179288730430353
evi_7	-0.116472890899189
evi_8	-0.0474750315730065
evi_9	-0.0516667889678247
evi_10	0.0229945348534772
evi_11	0.016934723622987
evi_12	0.0273318347010429
evi_13	0.020786988086789
evi_14	0.041808842142825
evi_15	0.0731039921494088
evi_16	0.0398448715959055
evi_17	-0.00543924664711481
evi_18	0.0259923509554789
evi_19	0.0435423487054778
evi_20	0.041366820751301
evi_21	0.00173679479781459
evi_22	-0.039472632797682
evi_23	-0.0604908200339155
altitude	-0.217567280985428
pluvio_yr	-0.1929126811574
pluvio_1	0.183360209901797
pluvio_2	0.164793404741258
pluvio_3	-0.0760671375842185
pluvio_4	-0.103785184074628
pluvio_5	-0.208841117639216
pluvio_6	-0.136480976887168
pluvio_7	-0.129524208860487
pluvio_8	-0.124743317906214
pluvio_9	-0.231898757779144
pluvio_10	-0.189703257644409
pluvio_11	0.079659020862943
pluvio_12	0.157790135200492
lon	0.134819747255176
lat	-0.149492096478879
geology.1	0.0164737454693382
geology.2	0.0170838501855056
geology.3	-0.00116317667407436
geology.5	-0.0650391560063324
geology.6	0.0326447370255628
altitude_geology.1	-0.00451572278273779
altitude_geology.2	-0.0137834155678766
altitude_geology.3	-0.0748826493526867
altitude_geology.5	-0.107360776747858
altitude_geology.6	-0.0170247165342695
pluvio_yr_geology.1	-0.00234375039166431
pluvio_yr_geology.2	-0.00105524517102626
pluvio_yr_geology.3	-0.0772384522724189
pluvio_yr_geology.5	-0.0823934265292128
pluvio_yr_geology.6	-0.0298818067930785
pluvio_1_geology.1	0.0217913536269469
pluvio_1_geology.2	-0.00163011386987896
pluvio_1_geology.3	0.126235948118347
pluvio_1_geology.5	0.0571549795473786
pluvio_1_geology.6	-0.0201919575209966
pluvio_2_geology.1	0.0164000768969072
pluvio_2_geology.2	-0.00720900899970258
pluvio_2_geology.3	0.126746418035935
pluvio_2_geology.5	0.0520864887840877
pluvio_2_geology.6	-0.0232305699759695
pluvio_3_geology.1	0.00294872560106062
pluvio_3_geology.2	0.000545436168986377
pluvio_3_geology.3	0.00516005353171078
pluvio_3_geology.5	0.00125603486580525
pluvio_3_geology.6	-0.0859773877517813
pluvio_4_geology.1	0.00499095834761598
pluvio_4_geology.2	-0.00749209161292876
pluvio_4_geology.3	0.0491043312455858
pluvio_4_geology.5	-0.102733025112549
pluvio_4_geology.6	-0.0476553569423521
pluvio_5_geology.1	-0.00267639457059857
pluvio_5_geology.2	-0.013441134773013
pluvio_5_geology.3	-0.0283849510355354
pluvio_5_geology.5	-0.126122766837624
pluvio_5_geology.6	-0.0382158704224443
pluvio_6_geology.1	-0.0158721457351285
pluvio_6_geology.2	0.0118920141217412
pluvio_6_geology.3	-0.112073736264583
pluvio_6_geology.5	-0.0467494014659418
pluvio_6_geology.6	0.0263222924567443
pluvio_7_geology.1	-0.0247215676916442
pluvio_7_geology.2	0.00979089614904179
pluvio_7_geology.3	-0.135081613486592
pluvio_7_geology.5	-0.0131670696141737
pluvio_7_geology.6	0.0336551457828816
pluvio_8_geology.1	-0.0218426250915067
pluvio_8_geology.2	0.00322781587654724
pluvio_8_geology.3	-0.143578400349343
pluvio_8_geology.5	-0.00850226201731575
pluvio_8_geology.6	0.0459521536754038
pluvio_9_geology.1	-0.0119578559744976
pluvio_9_geology.2	-0.0119761635563995
pluvio_9_geology.3	-0.10130499701303
pluvio_9_geology.5	-0.102588331530594
pluvio_9_geology.6	-0.00407140970462234
pluvio_10_geology.1	0.00402234105809701
pluvio_10_geology.2	-0.0207021366130208
pluvio_10_geology.3	-0.0540840483195068
pluvio_10_geology.5	-0.0877947127271254
pluvio_10_geology.6	-0.031144701042853
pluvio_11_geology.1	0.0208938541637648
pluvio_11_geology.2	-0.00691540522577858
pluvio_11_geology.3	0.13050837692972
pluvio_11_geology.5	-0.00295049481160603
pluvio_11_geology.6	-0.0618773101931574
pluvio_12_geology.1	0.0252264418583399
pluvio_12_geology.2	-0.00453003613701721
pluvio_12_geology.3	0.116859726737063
pluvio_12_geology.5	0.0585871728236631
pluvio_12_geology.6	-0.0383531700815571
lon_geology.1	-0.00983917559087872
lon_geology.2	0.023421429091132
lon_geology.3	-0.0358698546798671
lon_geology.5	0.10746350242788
lon_geology.6	0.0496438460069098
lat_geology.1	-0.0200624452731181
lat_geology.2	0.00726478380122288
lat_geology.3	-0.123453631212193
lat_geology.5	-0.0524634322076669
lat_geology.6	0.0392226284128762
