	Coefficient_Lasso	Coefficient_Ridge
(Intercept)	20.2591282948095	19.2070582065754
altitude	0	0.610226117798693
altitude_geology.1	0.308025080006758	0.188963559318396
altitude_geology.2	5.55561383409177	3.83082720222092
altitude_geology.3	1.05361528282265	0.605202141486981
altitude_geology.5	2.24669990838645	1.02002811063044
altitude_geology.6	-0.524935088671208	-0.720477934949993
evi_1	-0.822906603302757	-0.765758791262835
evi_10	0.28206113317024	0.230302422564707
evi_11	0	0.0905246280804213
evi_12	-0.316656646997041	-0.433652157437008
evi_13	1.00907046463659	0.860248470409639
evi_14	-1.34573248206004	-1.00045875364464
evi_15	0.097147420546624	0.061160492044231
evi_16	-1.38615472917547	-1.20028063241851
evi_17	-0.951599547625718	-0.891441112921493
evi_18	0.104033271489658	0.202637551769825
evi_19	0.447127377214538	0.498541817626218
evi_2	1.44759860485051	1.25713310386905
evi_20	-0.274217982919279	-0.443698596474386
evi_21	0.390826102978267	0.437871758864327
evi_22	-0.282560284677906	-0.351226797098139
evi_23	0	0.123918363152898
evi_3	-0.218385439699859	-0.261407672718419
evi_4	-1.3542555958208	-1.12158682600849
evi_5	-0.526786370314756	-0.48533351513974
evi_6	1.20037958966732	1.1360464119872
evi_7	-0.322348524691601	-0.483869668628043
evi_8	0.377265560339746	0.341703050857681
evi_9	0.742506196189225	0.679045774659893
geology.1	0	1.39397257759361
geology.2	0	-2.01557937005032
geology.3	0.656458989060185	1.58052171624303
geology.5	0	0.26176894052505
geology.6	-2.5307957638102	-1.69023682514302
lat	0	0.382724517247973
lat_geology.1	0	-0.0510486606443519
lat_geology.2	0	1.56054501703298
lat_geology.3	0.554533683740387	0.883861931978589
lat_geology.5	-1.09751237146299	-0.939913678897965
lat_geology.6	0	0.892936338052946
lon	0	-0.00580123133839853
lon_geology.1	-6.2551284249033	-4.07016603884204
lon_geology.2	0	-0.909185720663375
lon_geology.3	0	0.0923080210365415
lon_geology.5	3.72203188065355	1.90186661778192
lon_geology.6	-3.4326544630426	-3.41972204121342
pluvio_1	0	-0.488728041374802
pluvio_1_geology.1	0.553616202310211	1.21382315339874
pluvio_1_geology.2	5.63263084177505	5.57000655950029
pluvio_1_geology.3	0.00439120726688289	0.992804470833124
pluvio_1_geology.5	0	0.0547557104630245
pluvio_1_geology.6	-11.0382846790326	-5.1238676880453
pluvio_10	-0.429584980887077	-0.695780678950287
pluvio_10_geology.1	0	0.343651356519324
pluvio_10_geology.2	0	-1.00287585721623
pluvio_10_geology.3	-1.1208296998514	-1.01935418045495
pluvio_10_geology.5	0	0.491220537902479
pluvio_10_geology.6	-2.33361012145719	-2.09842343622132
pluvio_11	1.38040481986082	0.548173193182779
pluvio_11_geology.1	-5.23934208094865	-2.15862745301545
pluvio_11_geology.2	4.34437727977283	3.62689831016144
