"Coefficient_PLS"	"Coefficient_RCP"
"altitude"	1.27170805802622	-0.016376504919506
"pluvio_yr"	-1.55458750324393	-0.402348548674097
"pluvio_1"	-0.927105638554766	-0.742448620176284
"pluvio_2"	-2.03438559967062	-0.687141805566396
"pluvio_3"	0.676462468348274	-0.497929318956208
"pluvio_4"	-1.01621859242288	-0.896772029696468
"pluvio_5"	-0.480496221277709	-0.400210904189714
"pluvio_6"	1.30650316133635	0.707487051579321
"pluvio_7"	0.681384171395845	0.883205447218106
"pluvio_8"	4.11774124297478	0.918713783798875
"pluvio_9"	-1.52473984195326	0.176756525101939
"pluvio_10"	-1.43780347823003	-0.308091857994025
"pluvio_11"	2.03561038376706	-1.00113502868993
"pluvio_12"	-0.28921983616583	-0.735078034517914
"evi_1"	-0.874632592230781	-0.560106989874946
"evi_2"	1.88714122815795	-0.616705188054067
"evi_3"	-0.153704291468414	-0.634474509915338
"evi_4"	-1.36120875933254	-0.612696458825665
"evi_5"	-0.867402068117699	-0.413667276033995
"evi_6"	1.05464223675893	-0.252333874076952
"evi_7"	-0.383944192197914	-0.238841066628593
"evi_8"	0.601581372070803	0.168420034891675
"evi_9"	0.973852713848028	0.00852962267630913
"evi_10"	0.45939202272408	0.453942110169687
"evi_11"	0.271315543979247	0.395489589533879
"evi_12"	-0.657969115713787	0.512943138902922
"evi_13"	1.26842670016321	0.634481803965243
"evi_14"	-1.87420810159167	0.566014761520552
"evi_15"	0.0994796905309998	0.447487798205924
"evi_16"	-1.47301199319331	0.281026038857882
"evi_17"	-1.05529989484451	0.071995458749582
"evi_18"	0.391702829198527	-0.0764159659539605
"evi_19"	0.452773967690254	-0.0853875184159652
"evi_20"	-0.662521421673525	-0.127116382050447
"evi_21"	0.289199269976761	-0.342419167226022
"evi_22"	-0.61273731427849	-0.559487031961738
"evi_23"	0.173001244991972	-0.574032046122062
"lon"	-2.18643712132345	0.704917058771424
"lat"	0.733265752208003	0.793260656022598
"geology.1"	1.31476660666809	-0.0838703086180843
"geology.2"	-0.287581891682843	0.0484875574433843
"geology.3"	1.31523126757107	0.166727327945869
"geology.5"	0.237287861582313	-0.0481796828475455
"geology.6"	-2.57970384413838	-0.0831648939236227
"altitude_x_geology.1"	0.130620761286785	-0.00497713088762214
"altitude_x_geology.2"	1.85376210151647	-0.0380441929040829
"altitude_x_geology.3"	0.678300631357693	0.113726131310962
"altitude_x_geology.5"	2.45580002017644	-0.201555726204922
"altitude_x_geology.6"	-3.84677545631092	0.11447441376616
"lon_x_geology.1"	-3.66077964952252	0.0619325829675048
"lon_x_geology.2"	-1.75459550005261	0.093461154131292
"lon_x_geology.3"	-0.683662722842524	0.233157800398202
"lon_x_geology.5"	8.29877831212661	0.242350370141818
"lon_x_geology.6"	-4.38617756103213	0.0740151511326069
"lat_x_geology.1"	-0.463890411421518	0.107117377315593
"lat_x_geology.2"	1.45830299172495	0.0451814719087537
"lat_x_geology.3"	0.812520446754019	0.349954528894291
"lat_x_geology.5"	-2.64390538820839	0.0267903234191825
"lat_x_geology.6"	1.57023811335895	0.264216954484777
"pluvio_1_x_geology.1"	2.56451527045792	-0.124185668885734
"pluvio_1_x_geology.2"	1.57518854744582	-0.0231634177484502
"pluvio_1_x_geology.3"	3.40709582014455	-0.35360396175959
"pluvio_1_x_geology.5"	0.979725385893563	-0.0385227420592535
"pluvio_1_x_geology.6"	-9.45363066249793	-0.202972829723257
"pluvio_2_x_geology.1"	0.428694841615853	-0.0945551021771184
"pluvio_2_x_geology.2"	-1.67366540865496	-0.034791883077144
"pluvio_2_x_geology.3"	-3.58092687906568	-0.359035567964745
"pluvio_2_x_geology.5"	1.47400305444282	0.0296488604497766
"pluvio_2_x_geology.6"	1.31750879199153	-0.228408112797166
"pluvio_3_x_geology.1"	-2.80806165465469	-0.027658804218578
"pluvio_3_x_geology.2"	0.794186414812503	-0.0132352274986895
"pluvio_3_x_geology.3"	2.34667894438299	-0.219229395285734
"pluvio_3_x_geology.5"	-2.91096339303726	0.0411222650077976
"pluvio_3_x_geology.6"	3.2546221568444	-0.278928156961004
"pluvio_4_x_geology.1"	4.34040876447401	-0.0406036887086337
"pluvio_4_x_geology.2"	-3.63019049870403	-0.0268178360607646
"pluvio_4_x_geology.3"	4.39199875768838	-0.335086814807282
"pluvio_4_x_geology.5"	-0.905955489617223	-0.352485435338468
"pluvio_4_x_geology.6"	-5.21248012626385	-0.14177825478132
"pluvio_5_x_geology.1"	-4.53398107961555	0.00877677444625503
"pluvio_5_x_geology.2"	5.90506762070098	-0.0514152269940241
"pluvio_5_x_geology.3"	1.69919386732294	-0.113921386764534
"pluvio_5_x_geology.5"	2.09708110691279	-0.226971345852705
"pluvio_5_x_geology.6"	-5.64785773659944	-0.0166797190247064
"pluvio_6_x_geology.1"	0.0745080509447825	0.070478919573254
"pluvio_6_x_geology.2"	2.2904088545819	0.0715935183980755
"pluvio_6_x_geology.3"	1.94320170736488	0.356634529626771
"pluvio_6_x_geology.5"	-4.74431086956152	-0.00475244135288753
"pluvio_6_x_geology.6"	1.74269541800413	0.213532525334107
"pluvio_7_x_geology.1"	1.4047373569954	0.137252602068729
"pluvio_7_x_geology.2"	4.96974065018486	0.0406523758001164
"pluvio_7_x_geology.3"	1.09498920491431	0.397475163778756
"pluvio_7_x_geology.5"	-1.6506450362628	0.107856125502487
"pluvio_7_x_geology.6"	-5.13743800443685	0.199969180068016
"pluvio_8_x_geology.1"	-0.249829553087767	0.121505064664399
"pluvio_8_x_geology.2"	1.52461186257246	0.0244042346018646
"pluvio_8_x_geology.3"	-0.0869441893919584	0.434028449813789
"pluvio_8_x_geology.5"	6.60831291550644	0.0949526286761775
"pluvio_8_x_geology.6"	-3.67840979262454	0.243823406042645
"pluvio_9_x_geology.1"	0.796397215778666	0.0342052568545118
"pluvio_9_x_geology.2"	-0.706809120154153	-0.0292830404685602
"pluvio_9_x_geology.3"	-2.87350198499371	0.181231701345243
"pluvio_9_x_geology.5"	2.1178329330249	-0.158845479356321
"pluvio_9_x_geology.6"	-0.858658885608489	0.149448086727064
