"id"	"Loyer"	"SurfTerrain"	"SurfHabitable"	"SurfPiecResid"	"NbPieces"	"NbPiecesResid"	"NbSDB"	"NbChamBur"	"NbSalonsSAM"	"NbWC"	"NbCuis"	"Type"	"Standing"	"Etat"	"Jardin"	"Cour"	"Piscine"	"Garage"	"Egout"	"HiTech"	"DistCtrVille"	"Commerc"	"BordMer"	"Distractions"	"AxeRoutier"	"StandingQuartier"	"QuartierAffaires"	"Quartier"
1	850	598	294	29	17	10	3	6	4	2	2	"Villa"	"Oui"	"Neuf"	"Oui"	"Oui"	"Non"	"Priv1v"	"Non"	"1inst"	"sup5km"	"sup2km"	"inf2km"	"inf2km"	"inf1km"	"bourge"	"Non"	"Mamelles"
2	590	95	95	19	10	5	2	3	2	2	1	"Appart"	"Non"	"Bon"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"0"	"inf2km"	"sup2km"	"inf2km"	"inf1km"	"bourge"	"Oui"	"Plateau"
3	200	90	90	23	9	4	2	2	2	2	1	"Appart"	"Oui"	"Vetuste"	"Oui"	"Non"	"Non"	"Park"	"Oui"	"Non"	"1a5km"	"inf2km"	"inf2km"	"inf2km"	"inf1km"	"bourge"	"Non"	"Mermoz"
4	970	396	396	40	18	10	3	7	3	4	1	"Villa"	"Oui"	"Bon"	"Non"	"Oui"	"Oui"	"Priv2v"	"Non"	"1inst"	"sup5km"	"sup2km"	"inf2km"	"inf2km"	"inf1km"	"bourge"	"Non"	"Mamelles"
5	600	589	251	36	14	7	3	6	1	3	1	"Villa"	"Oui"	"Mediocre"	"Oui"	"Oui"	"Oui"	"Priv1v"	"Oui"	"Non"	"1a5km"	"inf2km"	"sup2km"	"inf2km"	"inf1km"	"bourge"	"Non"	"PointE"
6	90	70	70	18	9	4	2	3	1	2	1	"Appart"	"Non"	"Mediocre"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"inf1km"	"inf2km"	"sup2km"	"inf2km"	"inf1km"	"popu"	"Non"	"Medina"
7	840	252	270	25	18	11	3	8	3	3	1	"Villa"	"Oui"	"Bon"	"Non"	"Oui"	"Non"	"Priv2v"	"Oui"	"Non"	"1a5km"	"inf2km"	"inf2km"	"inf2km"	"inf1km"	"bourge"	"Non"	"FannHock"
8	2100	988	390	35	20	11	4	8	3	4	1	"Villa"	"Oui"	"Neuf"	"Oui"	"Oui"	"Non"	"Priv2v"	"Oui"	"2inst"	"1a5km"	"inf2km"	"inf2km"	"inf2km"	"inf1km"	"bourge"	"Non"	"FannResidence"
9	120	149	149	21	12	7	2	5	2	2	1	"Villa"	"Non"	"Mediocre"	"Non"	"Oui"	"Non"	"Priv1v"	"Oui"	"Non"	"1a5km"	"inf2km"	"sup2km"	"sup2km"	"sup1km"	"popu"	"Non"	"HLM"
10	290	255	204	34	11	6	2	4	2	2	1	"Villa"	"Non"	"Bon"	"Non"	"Oui"	"Non"	"Priv1v"	"Oui"	"Non"	"1a5km"	"inf2km"	"sup2km"	"inf2km"	"sup1km"	"moy"	"Non"	"SacreCoeur"
11	60	59	59	15	7	4	1	3	1	1	1	"Appart"	"Non"	"Bon"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"sup5km"	"inf2km"	"sup2km"	"sup2km"	"sup1km"	"popu"	"Non"	"Pikine"
12	95	154	139	20	11	7	1	6	1	2	1	"Villa"	"Non"	"Vetuste"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"1a5km"	"inf2km"	"sup2km"	"sup2km"	"sup1km"	"moy"	"Non"	"Castors"
13	90	71	71	24	6	3	1	2	1	1	1	"Appart"	"Non"	"Mediocre"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"sup5km"	"inf2km"	"inf2km"	"inf2km"	"inf1km"	"popu"	"Non"	"Yoff"
14	310	387	174	29	11	6	2	4	2	2	1	"Villa"	"Non"	"Bon"	"Oui"	"Oui"	"Non"	"Park"	"Oui"	"Non"	"inf1km"	"inf2km"	"sup2km"	"inf2km"	"sup1km"	"popu"	"Non"	"Fass"
15	20	19	19	19	3	1	1	1	0	1	0	"Appart"	"Non"	"Mediocre"	"Non"	"Non"	"Non"	"Non"	"Oui"	"Non"	"inf1km"	"inf2km"	"sup2km"	"inf2km"	"sup1km"	"popu"	"Non"	"Fass"
16	350	293	220	31	13	7	2	5	2	3	1	"Villa"	"Oui"	"Bon"	"Oui"	"Oui"	"Non"	"Priv1v"	"Oui"	"Non"	"sup5km"	"sup2km"	"inf2km"	"sup2km"	"inf1km"	"bourge"	"Non"	"Hann"
17	145	147	176	22	14	8	3	6	2	2	1	"Villa"	"Non"	"Bon"	"Non"	"Oui"	"Non"	"Priv1v"	"Oui"	"Non"	"1a5km"	"inf2km"	"sup2km"	"sup2km"	"sup1km"	"moy"	"Non"	"LiberteVI"
18	150	205	159	27	11	6	2	4	2	2	1	"Villa"	"Non"	"Neuf"	"Non"	"Oui"	"Non"	"Priv1v"	"Oui"	"Non"	"1a5km"	"sup2km"	"sup2km"	"sup2km"	"inf1km"	"moy"	"Non"	"SacreCoeurIII"
19	50	75	75	15	9	5	1	3	2	2	1	"Appart"	"Non"	"Bon"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"1a5km"	"inf2km"	"sup2km"	"sup2km"	"sup1km"	"popu"	"Non"	"Bopp"
20	440	101	101	20	10	5	2	3	2	2	1	"Appart"	"Oui"	"Neuf"	"Oui"	"Oui"	"Non"	"Park"	"Oui"	"Non"	"1a5km"	"inf2km"	"inf2km"	"inf2km"	"inf1km"	"bourge"	"Non"	"Fann"
21	800	307	285	32	15	9	2	6	3	3	1	"Villa"	"Oui"	"Neuf"	"Oui"	"Oui"	"Oui"	"Priv1v"	"Non"	"Non"	"sup5km"	"inf2km"	"inf2km"	"inf2km"	"inf1km"	"bourge"	"Non"	"Ngor"
22	190	148	292	22	20	13	3	10	3	3	1	"Villa"	"Non"	"Bon"	"Non"	"Oui"	"Non"	"Priv1v"	"Oui"	"Non"	"sup5km"	"inf2km"	"inf2km"	"sup2km"	"sup1km"	"popu"	"Non"	"Parcelles"
23	350	60	60	15	8	4	1	3	1	2	1	"Appart"	"Oui"	"Bon"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"0"	"inf2km"	"sup2km"	"inf2km"	"inf1km"	"bourge"	"Oui"	"Plateau"
24	390	203	198	33	11	6	2	4	2	2	1	"Villa"	"Non"	"Bon"	"Oui"	"Oui"	"Non"	"Priv1v"	"Oui"	"1inst"	"1a5km"	"inf2km"	"sup2km"	"inf2km"	"inf1km"	"moy"	"Non"	"Mermoz"
25	1000	502	346	29	20	12	3	8	4	4	1	"Villa"	"Oui"	"Neuf"	"Oui"	"Oui"	"Oui"	"Priv2v"	"Non"	"2inst"	"sup5km"	"sup2km"	"inf2km"	"inf2km"	"inf1km"	"bourge"	"Non"	"Almadies"
26	690	250	304	30	17	10	3	7	3	3	1	"Villa"	"Oui"	"Bon"	"Non"	"Oui"	"Non"	"Priv2v"	"Oui"	"1inst"	"1a5km"	"inf2km"	"sup2km"	"inf2km"	"inf1km"	"bourge"	"Non"	"PointE"
27	90	50	50	17	6	3	1	2	1	1	1	"Appart"	"Non"	"Bon"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"inf1km"	"inf2km"	"sup2km"	"inf2km"	"inf1km"	"popu"	"Oui"	"Medina"
28	240	96	96	19	10	5	2	3	2	2	1	"Appart"	"Oui"	"Bon"	"Non"	"Oui"	"Non"	"Park"	"Oui"	"Non"	"1a5km"	"inf2km"	"inf2km"	"inf2km"	"inf1km"	"moy"	"Non"	"FenetreMermoz"
29	95	91	91	18	10	5	2	4	1	2	1	"Appart"	"Non"	"Mediocre"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"inf1km"	"inf2km"	"sup2km"	"inf2km"	"inf1km"	"popu"	"Non"	"GueuleTapee"
30	70	69	69	17	8	4	1	3	1	2	1	"Appart"	"Oui"	"Bon"	"Oui"	"Oui"	"Non"	"Park"	"Oui"	"1inst"	"1a5km"	"inf2km"	"sup2km"	"sup2km"	"sup1km"	"moy"	"Non"	"JetdEau"
31	50	36	36	18	5	2	1	1	1	1	1	"Appart"	"Oui"	"Neuf"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"1a5km"	"inf2km"	"sup2km"	"sup2km"	"sup1km"	"moy"	"Non"	"LiberteI"
32	55	99	129	26	9	5	1	3	2	2	1	"Villa"	"Non"	"Mediocre"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"sup5km"	"sup2km"	"inf2km"	"sup2km"	"sup1km"	"popu"	"Non"	"Malika"
33	35	40	40	13	6	3	1	2	1	1	1	"Appart"	"Non"	"Mediocre"	"Non"	"Non"	"Non"	"Non"	"Oui"	"Non"	"1a5km"	"inf2km"	"sup2km"	"sup2km"	"sup1km"	"moy"	"Non"	"Derkle"
34	55	53	53	18	6	3	1	2	1	1	1	"Appart"	"Non"	"Bon"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"sup5km"	"inf2km"	"inf2km"	"sup2km"	"inf1km"	"popu"	"Non"	"Yoff"
35	60	59	59	15	7	4	1	3	1	1	1	"Appart"	"Non"	"Mediocre"	"Non"	"Oui"	"Non"	"Non"	"Oui"	"Non"	"inf1km"	"inf2km"	"sup2km"	"inf2km"	"sup1km"	"popu"	"Non"	"NiayeCoker"
36	30	55	55	28	5	2	1	1	1	1	1	"Appart"	"Non"	"Mediocre"	"Non"	"Non"	"Non"	"Non"	"Oui"	"Non"	"1a5km"	"inf2km"	"sup2km"	"inf2km"	"sup1km"	"popu"	"Non"	"Fass"
